# ----------------------------------------
# Report CSV Export
# Account: NSTEM
# Property: NSTEM Website - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20230813
# End date: 20240210
Screen resolution,Users,New users,Engaged sessions,Engagement rate,Engaged sessions per user,Average engagement time,Event count,Conversions,Total revenue
1440x900,3049,2975,3551,0.7397916666666666,1.1646441456215153,134.1216792390948,46633,0,0
1920x1080,2184,2066,2575,0.7410071942446043,1.179029304029304,210.4867216117216,40145,0,0
390x844,1944,1917,1236,0.5495775900400178,0.6358024691358025,42.767489711934154,11251,0,0
1536x864,1762,1716,2051,0.7474489795918368,1.1640181611804767,134.26390465380248,21303,0,0
1366x768,1245,1226,1407,0.7328125,1.1301204819277109,177.73172690763053,15719,0,0
414x896,1068,1053,563,0.47914893617021276,0.5271535580524345,33.16198501872659,5262,0,0
1280x720,1057,1036,1126,0.7171974522292993,1.065279091769158,173.89877010406812,14028,0,0
428x926,847,829,575,0.5566311713455954,0.6788665879574971,44.2172373081464,5294,0,0
375x812,548,534,356,0.5042492917847026,0.6496350364963503,45.38868613138686,3068,0,0
393x852,532,525,361,0.582258064516129,0.6785714285714286,37.13157894736842,3006,0,0
430x932,488,481,327,0.5978062157221207,0.6700819672131147,38.64549180327869,2781,0,0
1470x956,462,454,463,0.7223088923556942,1.0021645021645023,78.18398268398268,4840,0,0
1280x800,412,402,458,0.7495908346972177,1.1116504854368932,105.15776699029126,4422,0,0
1512x982,388,382,410,0.7427536231884058,1.056701030927835,103.73453608247422,4356,0,0
2560x1440,296,287,332,0.7685185185185185,1.1216216216216217,131.86148648648648,3848,0,0
412x915,265,265,191,0.6121794871794872,0.720754716981132,40.13962264150943,1494,0,0
375x667,256,255,168,0.5915492957746479,0.65625,39.55859375,1393,0,0
360x800,245,245,180,0.6293706293706294,0.7346938775510204,46.69387755102041,1443,0,0
1680x1050,223,216,231,0.717391304347826,1.0358744394618835,100.80717488789237,2268,0,0
1536x960,173,168,207,0.7212543554006968,1.1965317919075145,98.32369942196532,2304,0,0
1600x900,165,154,183,0.7379032258064516,1.1090909090909091,126.22424242424242,2554,0,0
800x600,157,157,16,0.10191082802547771,0.10191082802547771,27.662420382165607,3334,0,0
360x780,152,152,117,0.7048192771084337,0.7697368421052632,46.08552631578947,893,0,0
1728x1117,131,129,119,0.695906432748538,0.9083969465648855,52.55725190839695,1005,0,0
810x1080,123,123,96,0.6114649681528662,0.7804878048780488,87.0650406504065,889,0,0
1792x1120,120,116,116,0.6863905325443787,0.9666666666666667,72.325,1033,0,0
820x1180,113,112,99,0.6036585365853658,0.8761061946902655,93.30088495575221,1053,0,0
412x892,112,111,88,0.6330935251798561,0.7857142857142857,66.91964285714286,743,0,0
1280x960,96,94,46,0.4791666666666667,0.4791666666666667,19.520833333333332,371,0,0
768x1024,92,92,61,0.5980392156862745,0.6630434782608695,75.83695652173913,670,0,0
320x693,91,90,58,0.5420560747663551,0.6373626373626373,45.72527472527472,510,0,0
414x736,88,88,61,0.61,0.6931818181818182,79.25,551,0,0
384x854,87,87,72,0.6605504587155964,0.8275862068965517,60.252873563218394,595,0,0
1920x1200,83,78,87,0.7981651376146789,1.0481927710843373,117.855421686747,897,0,0
1504x1003,75,73,77,0.7777777777777778,1.0266666666666666,98.57333333333334,788,0,0
1024x768,74,74,11,0.14285714285714285,0.14864864864864866,3.689189189189189,287,0,0
393x873,74,74,51,0.5543478260869565,0.6891891891891891,54.2027027027027,468,0,0
1710x1107,73,72,68,0.7311827956989247,0.9315068493150684,43.71232876712329,660,0,0
1024x1366,71,70,59,0.6555555555555556,0.8309859154929577,70.7605633802817,546,0,0
2048x1152,70,69,81,0.8350515463917526,1.1571428571428573,141.47142857142856,832,0,0
385x854,70,72,55,0.6875,0.7857142857142857,41.84285714285714,441,0,0
1368x912,66,66,69,0.7040816326530612,1.0454545454545454,155.5151515151515,796,0,0
384x832,62,62,66,0.717391304347826,1.064516129032258,74.74193548387096,464,0,0
412x869,62,62,46,0.696969696969697,0.7419354838709677,40.645161290322584,357,0,0
412x883,60,60,48,0.631578947368421,0.8,48.78333333333333,390,0,0
1707x1067,55,55,60,0.6666666666666666,1.0909090909090908,113.83636363636364,719,0,0
384x824,54,54,39,0.609375,0.7222222222222222,38.2962962962963,322,0,0
834x1194,54,54,48,0.7164179104477612,0.8888888888888888,129,618,0,0
1517x852,53,51,47,0.6714285714285714,0.8867924528301887,128.88679245283018,503,0,0
3440x1440,51,48,75,0.7575757575757576,1.4705882352941178,121.62745098039215,971,0,0
1300x730,49,48,49,0.6805555555555556,1,1307.2857142857142,574,0,0
360x760,48,48,31,0.5961538461538461,0.6458333333333334,54.916666666666664,266,0,0
1280x1024,47,45,51,0.8095238095238095,1.0851063829787233,188.2127659574468,641,0,0
1440x960,46,46,45,0.703125,0.9782608695652174,73.3695652173913,516,0,0
1536x1024,43,43,44,0.6285714285714286,1.0232558139534884,80.88372093023256,477,0,0
384x857,41,41,29,0.6744186046511628,0.7073170731707317,39.24390243902439,223,0,0
2240x1260,39,36,37,0.5967741935483871,0.9487179487179487,80.35897435897436,412,0,0
393x851,38,38,27,0.6585365853658537,0.7105263157894737,44.71052631578947,184,0,0
360x772,34,34,24,0.6666666666666666,0.7058823529411765,26.705882352941178,171,0,0
1707x960,32,30,32,0.7111111111111111,1,71.09375,327,0,0
2560x1080,32,28,116,0.7073170731707317,3.625,181.90625,1082,0,0
320x568,28,28,14,0.4827586206896552,0.5,51.142857142857146,130,0,0
360x740,26,25,20,0.7692307692307693,0.7692307692307693,89.88461538461539,230,0,0
1494x934,25,24,33,0.7857142857142857,1.32,127.36,378,0,0
360x806,25,25,18,0.6666666666666666,0.72,52.16,144,0,0
1024x1024,24,24,0,0,0,0,72,0,0
412x846,24,24,20,0.7692307692307693,0.8333333333333334,158.66666666666666,196,0,0
1241x697,23,22,21,0.75,0.9130434782608695,65.26086956521739,176,0,0
1500x1000,23,23,28,0.8,1.2173913043478262,166.52173913043478,305,0,0
1710x1112,23,23,49,0.8166666666666667,2.130434782608696,197.65217391304347,652,0,0
360x880,23,23,17,0.7391304347826086,0.7391304347826086,42.21739130434783,118,0,0
360x804,21,21,17,0.7727272727272727,0.8095238095238095,16.904761904761905,109,0,0
432x960,21,21,21,0.7241379310344828,1,76.0952380952381,184,0,0
1360x768,20,19,20,0.8,1,69.95,176,0,0
1600x1600,20,20,0,0,0,0,60,0,0
360x640,20,20,18,0.782608695652174,0.9,50.65,101,0,0
1187x667,19,18,17,0.8095238095238095,0.8947368421052632,75.73684210526316,168,0,0
360x820,18,18,15,0.6521739130434783,0.8333333333333334,46.72222222222222,107,0,0
834x1112,18,18,14,0.5384615384615384,0.7777777777777778,40.166666666666664,107,0,0
1664x1110,15,13,15,0.7142857142857143,1,56.2,150,0,0
385x824,15,15,13,0.8666666666666667,0.8666666666666667,73.86666666666666,101,0,0
2000x2000,14,12,6,0.42857142857142855,0.42857142857142855,3.857142857142857,45,0,0
1352x878,13,12,11,0.6470588235294118,0.8461538461538461,138.23076923076923,82,0,0
1396x785,13,11,17,0.4146341463414634,1.3076923076923077,93.3076923076923,192,0,0
1600x1067,13,13,11,0.7857142857142857,0.8461538461538461,34,65,0,0
1800x1169,13,12,17,0.9444444444444444,1.3076923076923077,62.92307692307692,144,0,0
393x876,13,12,11,0.6875,0.8461538461538461,24.23076923076923,91,0,0
3008x1692,12,11,13,0.5416666666666666,1.0833333333333333,456.1666666666667,310,0,0
320x694,12,12,7,0.5833333333333334,0.5833333333333334,21.916666666666668,48,0,0
320x712,12,12,9,0.75,0.75,43.583333333333336,60,0,0
424x942,12,12,9,0.75,0.75,43.666666666666664,63,0,0
1280x832,11,11,9,0.75,0.8181818181818182,38.45454545454545,64,0,0
360x720,11,11,9,0.6923076923076923,0.8181818181818182,80.45454545454545,88,0,0
412x823,11,9,8,0.5333333333333333,0.7272727272727273,39.27272727272727,51,0,0
432x984,11,11,10,0.7692307692307693,0.9090909090909091,152.1818181818182,91,0,0
691x829,10,10,8,0.7272727272727273,0.8,106,73,0,0
1440x810,9,9,9,0.8181818181818182,1,65.22222222222223,66,0,0
345x883,9,9,6,0.42857142857142855,0.6666666666666666,26,52,0,0
1280x854,8,8,8,1,1,256,201,0,0
1093x615,7,7,5,0.625,0.7142857142857143,578.4285714285714,54,0,0
1463x915,7,7,6,0.8571428571428571,0.8571428571428571,46.57142857142857,47,0,0
320x640,7,7,5,0.7142857142857143,0.7142857142857143,43.142857142857146,30,0,0
412x1006,7,7,6,0.8571428571428571,0.8571428571428571,50.57142857142857,39,0,0
412x732,7,7,2,0.2857142857142857,0.2857142857142857,26.714285714285715,30,0,0
5120x1440,7,7,7,1,1,59.142857142857146,67,0,0
1024x2160,6,6,0,0,0,0,18,0,0
1229x692,6,6,8,0.8888888888888888,1.3333333333333333,197.66666666666666,111,0,0
2195x1235,6,6,6,0.8571428571428571,1,48.166666666666664,41,0,0
320x872,6,6,4,0.5714285714285714,0.6666666666666666,38.166666666666664,36,0,0
360x803,6,6,5,0.8333333333333334,0.8333333333333334,58.333333333333336,27,0,0
376x835,6,6,4,0.4444444444444444,0.6666666666666666,45,36,0,0
412x877,6,6,6,0.75,1,155.5,56,0,0
448x998,6,6,9,0.8181818181818182,1.5,18,48,0,0
1024x640,5,5,4,0.8,0.8,48,39,0,0
