# ----------------------------------------
# Report CSV Export
# Account: NSTEM
# Property: NSTEM Website - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20240114
# End date: 20240210
Screen resolution,Users,New users,Engaged sessions,Engagement rate,Engaged sessions per user,Average engagement time,Event count,Conversions,Total revenue
1440x900,637,580,640,0.7158836689038032,1.0047095761381475,135.90894819466249,8186,0,0
1920x1080,490,447,490,0.7480916030534351,1,221.9877551020408,9260,0,0
1536x864,395,364,384,0.7470817120622568,0.9721518987341772,120.5493670886076,4066,0,0
390x844,303,303,177,0.5315315315315315,0.5841584158415841,45.12541254125413,1650,0,0
1280x720,241,219,233,0.6976047904191617,0.966804979253112,331.34854771784234,4959,0,0
1366x768,222,210,193,0.7148148148148148,0.8693693693693694,132.77027027027026,2270,0,0
393x852,155,153,108,0.6206896551724138,0.6967741935483871,32.05806451612903,808,0,0
428x926,149,147,94,0.573170731707317,0.6308724832214765,35.41610738255034,827,0,0
430x932,121,121,74,0.5522388059701493,0.6115702479338843,36.388429752066116,628,0,0
414x896,112,112,84,0.6131386861313869,0.75,47.839285714285715,734,0,0
1470x956,110,101,99,0.66,0.9,49.836363636363636,865,0,0
1512x982,101,93,92,0.696969696969697,0.9108910891089109,135.25742574257427,1146,0,0
375x812,87,86,57,0.5588235294117647,0.6551724137931034,58.724137931034484,491,0,0
1280x800,76,74,69,0.6388888888888888,0.9078947368421053,56.973684210526315,691,0,0
2560x1440,51,47,51,0.75,1,196.8235294117647,719,0,0
1680x1050,49,44,50,0.6944444444444444,1.0204081632653061,170.0408163265306,519,0,0
412x915,49,49,34,0.5862068965517241,0.6938775510204082,38.57142857142857,290,0,0
360x800,48,47,35,0.6481481481481481,0.7291666666666666,49.729166666666664,291,0,0
375x667,41,41,28,0.6666666666666666,0.6829268292682927,57.073170731707314,258,0,0
1536x960,38,36,39,0.7222222222222222,1.0263157894736843,49.89473684210526,287,0,0
1600x900,37,31,34,0.723404255319149,0.918918918918919,38.13513513513514,255,0,0
1728x1117,31,31,26,0.65,0.8387096774193549,25.548387096774192,201,0,0
360x780,28,28,18,0.6428571428571429,0.6428571428571429,35.857142857142854,163,0,0
810x1080,28,28,21,0.75,0.75,58.607142857142854,152,0,0
768x1024,27,27,17,0.5666666666666667,0.6296296296296297,91.44444444444444,179,0,0
412x892,25,24,17,0.6071428571428571,0.68,48.8,147,0,0
1920x1200,23,21,24,0.8571428571428571,1.0434782608695652,143.6086956521739,195,0,0
384x832,20,20,15,0.625,0.75,31.45,119,0,0
820x1180,20,18,16,0.6153846153846154,0.8,87.6,172,0,0
1504x1003,19,16,16,0.8,0.8421052631578947,81.3157894736842,117,0,0
1792x1120,19,16,17,0.7727272727272727,0.8947368421052632,38.10526315789474,116,0,0
384x854,19,19,12,0.5454545454545454,0.631578947368421,19.57894736842105,90,0,0
1710x1107,17,16,17,0.6538461538461539,1,28.41176470588235,136,0,0
320x693,15,15,10,0.5882352941176471,0.6666666666666666,45.46666666666667,78,0,0
1280x960,14,14,8,0.5714285714285714,0.5714285714285714,31.142857142857142,52,0,0
1517x852,14,12,12,0.75,0.8571428571428571,261.2857142857143,143,0,0
3440x1440,14,12,15,0.8333333333333334,1.0714285714285714,145.64285714285714,123,0,0
393x873,14,14,8,0.47058823529411764,0.5714285714285714,30.357142857142858,106,0,0
412x869,14,14,12,0.8,0.8571428571428571,41.42857142857143,82,0,0
834x1194,13,13,10,0.7142857142857143,0.7692307692307693,131.46153846153845,86,0,0
1280x1024,12,12,8,0.6666666666666666,0.6666666666666666,145.33333333333334,65,0,0
2048x1152,12,12,16,0.8888888888888888,1.3333333333333333,149.66666666666666,176,0,0
414x736,12,12,8,0.5714285714285714,0.6666666666666666,118.25,109,0,0
1024x1366,11,11,7,0.5833333333333334,0.6363636363636364,20.727272727272727,48,0,0
1368x912,11,11,8,0.6666666666666666,0.7272727272727273,99,64,0,0
2240x1260,11,11,7,0.6363636363636364,0.6363636363636364,37.45454545454545,75,0,0
385x854,11,11,8,0.7272727272727273,0.7272727272727273,21,49,0,0
1494x934,10,9,15,0.8823529411764706,1.5,186,183,0,0
1707x1067,10,8,16,0.8421052631578947,1.6,117.2,181,0,0
1440x960,9,9,11,0.9166666666666666,1.2222222222222223,112.11111111111111,113,0,0
1536x1024,9,8,8,0.8,0.8888888888888888,78.11111111111111,61,0,0
1710x1112,9,7,11,0.7333333333333333,1.2222222222222223,82.88888888888889,146,0,0
360x760,9,9,4,0.4,0.4444444444444444,135.55555555555554,38,0,0
384x824,9,9,5,0.45454545454545453,0.5555555555555556,13,43,0,0
1300x730,7,7,6,0.6666666666666666,0.8571428571428571,249.71428571428572,98,0,0
360x740,7,7,4,0.5714285714285714,0.5714285714285714,37.714285714285715,36,0,0
384x857,7,7,4,0.5714285714285714,0.5714285714285714,27.285714285714285,31,0,0
412x883,7,7,6,0.75,0.8571428571428571,53.142857142857146,33,0,0
1360x768,6,4,5,0.625,0.8333333333333334,54.333333333333336,28,0,0
320x712,6,6,6,1,1,72.83333333333333,38,0,0
360x772,6,6,5,0.7142857142857143,0.8333333333333334,42,36,0,0
360x806,6,6,5,0.8333333333333334,0.8333333333333334,75.5,47,0,0
393x851,6,6,5,0.8333333333333334,0.8333333333333334,38.333333333333336,28,0,0
393x876,6,5,4,0.5714285714285714,0.6666666666666666,14.5,38,0,0
412x846,6,6,6,0.8571428571428571,1,444.1666666666667,70,0,0
432x984,6,6,3,0.5,0.5,24.666666666666668,23,0,0
1241x697,5,5,5,0.8333333333333334,1,47.2,33,0,0
1352x878,5,4,5,0.7142857142857143,1,322.8,30,0,0
1440x810,5,5,5,0.8333333333333334,1,35.8,34,0,0
1707x960,5,3,4,0.6666666666666666,0.8,124,35,0,0
2560x1080,5,5,3,0.6,0.6,75.4,53,0,0
360x880,5,5,4,0.8,0.8,75.8,23,0,0
448x998,5,5,9,0.9,1.8,21.6,45,0,0
1280x832,4,4,4,1,1,31.25,16,0,0
1396x785,4,4,5,1,1.25,39.25,26,0,0
1463x915,4,4,3,0.75,0.75,69,20,0,0
1800x1169,4,3,4,1,1,24,22,0,0
320x568,4,4,1,0.2,0.25,82,18,0,0
360x640,4,4,4,1,1,80.5,22,0,0
360x820,4,4,3,0.75,0.75,41,18,0,0
384x811,4,4,1,0.25,0.25,13,15,0,0
385x824,4,4,3,0.75,0.75,43,17,0,0
800x600,4,4,1,0.25,0.25,8.5,13,0,0
1463x823,3,3,1,0.3333333333333333,0.3333333333333333,17.666666666666668,11,0,0
1500x1000,3,3,3,0.75,1,20.666666666666668,23,0,0
1600x1067,3,3,3,1,1,27.666666666666668,15,0,0
1664x1110,3,2,2,0.6666666666666666,0.6666666666666666,13,12,0,0
2752x1152,3,2,2,0.6666666666666666,0.6666666666666666,20.666666666666668,12,0,0
3008x1692,3,3,2,0.6666666666666666,0.6666666666666666,31,12,0,0
360x825,3,3,2,0.5,0.6666666666666666,36.666666666666664,18,0,0
412x1006,3,3,3,1,1,41,12,0,0
432x960,3,3,5,0.8333333333333334,1.6666666666666667,331.6666666666667,79,0,0
5120x1440,3,3,3,1,1,81.33333333333333,31,0,0
691x829,3,3,2,0.6666666666666666,0.6666666666666666,19.333333333333332,12,0,0
1024x640,2,2,2,1,1,12.5,9,0,0
1024x768,2,2,1,0.5,0.5,14.5,11,0,0
1080x1920,2,2,2,1,1,7,7,0,0
1093x615,2,2,1,0.5,0.5,1784,11,0,0
1138x639,2,2,2,1,1,22.5,8,0,0
1187x667,2,2,2,1,1,181,28,0,0
1200x675,2,2,1,0.5,0.5,6,8,0,0
1229x820,2,2,1,0.5,0.5,132,14,0,0
1280x649,2,2,0,0,0,0,6,0,0
1280x854,2,2,2,1,1,812,155,0,0
1397x786,2,2,1,0.5,0.5,8.5,8,0,0
1920x3000,2,2,2,1,1,14,111,0,0
320x687,2,2,1,0.5,0.5,15.5,10,0,0
347x772,2,2,1,0.5,0.5,54.5,12,0,0
