# ----------------------------------------
# Report CSV Export
# Account: NSTEM
# Property: NSTEM Website - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20240211
# End date: 20240217
Screen resolution,Users,New users,Engaged sessions,Engagement rate,Engaged sessions per user,Average engagement time,Event count,Conversions,Total revenue
1440x900,110,92,106,0.7310344827586207,0.9636363636363636,112.98181818181818,1456,0,0
1920x1080,107,96,107,0.7753623188405797,1,142.0373831775701,1541,0,0
1536x864,70,49,70,0.8045977011494253,1,159.05714285714285,681,0,0
390x844,61,61,44,0.6666666666666666,0.7213114754098361,65.11475409836065,439,0,0
1366x768,49,40,46,0.7931034482758621,0.9387755102040817,136.6530612244898,351,0,0
1280x720,42,33,44,0.7857142857142857,1.0476190476190477,582.9761904761905,1441,0,0
393x852,36,35,22,0.5789473684210527,0.6111111111111112,69.05555555555556,397,0,0
375x812,32,32,24,0.75,0.75,63.8125,190,0,0
414x896,26,25,22,0.6875,0.8461538461538461,20.73076923076923,150,0,0
430x932,24,23,15,0.625,0.625,61,122,0,0
1470x956,22,19,23,0.8518518518518519,1.0454545454545454,51.90909090909091,322,0,0
1280x800,21,18,18,0.782608695652174,0.8571428571428571,159.1904761904762,153,0,0
428x926,17,16,14,0.7,0.8235294117647058,32.35294117647059,131,0,0
360x800,15,15,7,0.4375,0.4666666666666667,8.4,60,0,0
1512x982,14,13,12,0.7058823529411765,0.8571428571428571,122.85714285714286,245,0,0
2560x1440,12,9,11,0.6875,0.9166666666666666,19.5,79,0,0
1792x1120,10,9,9,0.75,0.9,61.6,80,0,0
412x915,10,10,6,0.5,0.6,36.8,59,0,0
1536x960,9,7,7,0.6363636363636364,0.7777777777777778,101.44444444444444,99,0,0
1920x1200,8,8,5,0.625,0.625,75.5,70,0,0
1680x1050,7,5,6,0.75,0.8571428571428571,61.42857142857143,46,0,0
375x667,7,7,5,0.7142857142857143,0.7142857142857143,27,47,0,0
393x873,7,6,5,0.7142857142857143,0.7142857142857143,166.71428571428572,31,0,0
1600x900,6,6,5,0.8333333333333334,0.8333333333333334,24,34,0,0
768x1024,6,6,2,0.3333333333333333,0.3333333333333333,24.833333333333332,22,0,0
1280x1024,5,5,3,0.6,0.6,42.8,29,0,0
2048x1152,5,4,6,0.75,1.2,321.2,47,0,0
360x780,5,5,4,0.8,0.8,27.6,25,0,0
1504x1003,4,3,3,0.42857142857142855,0.75,136.5,28,0,0
